Order #,Buyer Name,Order Date,Channel,Status,Shipping Type,Product Amt,Shipping Amt,Total Amt,Buyer Paid,Carrier Information
D625C813-85C891-4FB8C,Aria Reed,"Saturday, 05 July 2025",TcgMarketplace,Completed - Paid,Standard,11.71,0.99,12.70,TRUE,
D625C813-782D89-C28DD,Chloe Hayes,"Saturday, 05 July 2025",TcgMarketplace,Completed - Paid,Standard,27.89,1.22,29.11,TRUE,
D625C813-9678EE-2242D,Layla Brooks,"Saturday, 05 July 2025",TcgMarketplace,Completed - Paid,Standard,17.74,0.99,18.73,TRUE,
D625C813-1F0E6B-7665E,Mia Morgan,"Saturday, 05 July 2025",TcgMarketplace,Completed - Paid,Standard,8.52,0.99,9.51,TRUE,
D625C813-93383F-443B5,Ethan Murphy,"Saturday, 12 July 2025",TcgMarketplace,Completed - Paid,Standard,21.37,0.99,22.36,TRUE,
D625C813-C11688-1189C,Michael Carter,"Saturday, 12 July 2025",TcgMarketplace,Completed - Paid,Standard,44.18,0.99,45.17,TRUE,
D625C813-B1E568-4FA78,Elijah Sullivan,"Saturday, 12 July 2025",TcgMarketplace,Completed - Paid,Standard,9.29,0.99,10.28,TRUE,
D625C813-1A4DE0-F3DC5,Emma Parker,"Saturday, 12 July 2025",TcgMarketplace,Completed - Paid,Standard,23.37,0.99,24.36,TRUE,
D625C813-5E0D1F-C4399,Noah Sullivan,"Saturday, 19 July 2025",TcgMarketplace,Completed - Paid,Standard,9.89,1.31,11.20,TRUE,
D625C813-E2E2EF-67EFE,Oliver Carter,"Saturday, 19 July 2025",TcgMarketplace,Completed - Paid,Standard,11.61,0.99,12.60,TRUE,
D625C813-3EF864-89B2A,Lily Sullivan,"Saturday, 19 July 2025",TcgMarketplace,Completed - Paid,Standard,19.65,0.99,20.64,TRUE,
D625C813-CC11D2-574D8,Mason Gray,"Saturday, 19 July 2025",TcgMarketplace,Completed - Paid,Standard,39.88,0.99,40.87,TRUE,
D625C813-9D851A-496B5,Oliver Hughes,"Saturday, 26 July 2025",TcgMarketplace,Completed - Paid,Standard,8.32,1.22,9.54,TRUE,
D625C813-D99215-F8529,Daniel Cook,"Sunday, 13 July 2025",TcgMarketplace,Completed - Paid,Standard,17.59,0.99,18.58,TRUE,
D625C813-6AA8A5-288B3,Liam Flores,"Sunday, 13 July 2025",TcgMarketplace,Completed - Paid,Standard,16.37,1.22,17.59,TRUE,
D625C813-9F3ADA-DC168,Elijah Powell,"Sunday, 13 July 2025",TcgMarketplace,Completed - Paid,Standard,8.24,1.22,9.46,TRUE,
D625C813-8F06D5-CF6C0,Mia Long,"Sunday, 13 July 2025",TcgMarketplace,Completed - Paid,Standard,75.47,0.99,76.46,TRUE,
D625C813-572ACE-9A531,Jacob Ross,"Sunday, 13 July 2025",TcgMarketplace,Completed - Paid,Standard,19.95,0.99,20.94,TRUE,
D625C813-5C851B-710B0,Logan Powell,"Sunday, 27 July 2025",TcgMarketplace,Completed - Paid,Standard,27.19,0.99,28.18,TRUE,
D625C813-33E4E3-3BBCE,Hannah Ross,"Thursday, 03 July 2025",TcgMarketplace,Completed - Paid,Standard,10.64,1.31,11.95,TRUE,
D625C813-9314F5-9C55D,Hannah Hayes,"Thursday, 03 July 2025",TcgMarketplace,Completed - Paid,Standard,14.44,1.22,15.66,TRUE,
D625C813-580394-9797C,Charlotte Hughes,"Thursday, 03 July 2025",TcgMarketplace,Completed - Paid,Standard,25.79,0.99,26.78,TRUE,
D625C813-5FED4A-82488,Olivia Rivera,"Thursday, 10 July 2025",TcgMarketplace,Completed - Paid,Standard,10.12,0.99,11.11,TRUE,
D625C813-7A8E28-4C5BA,Emma Carter,"Thursday, 10 July 2025",TcgMarketplace,Completed - Paid,Standard,75.22,0.99,76.21,TRUE,
D625C813-EF9262-47166,Ella Long,"Thursday, 10 July 2025",TcgMarketplace,Completed - Paid,Standard,15.60,1.31,16.91,TRUE,
D625C813-7265BA-FC54C,Jacob Mitchell,"Thursday, 10 July 2025",TcgMarketplace,Completed - Paid,Standard,13.55,0.99,14.54,TRUE,
D625C813-7BA26A-D11C9,Michael Price,"Thursday, 17 July 2025",TcgMarketplace,Completed - Paid,Standard,18.89,0.99,19.88,TRUE,
D625C813-F2403D-6E7B9,Grace Hayes,"Thursday, 17 July 2025",TcgMarketplace,Completed - Paid,Standard,28.13,0.99,29.12,TRUE,
D625C813-313A91-D78A9,Alexander Cooper,"Thursday, 24 July 2025",TcgMarketplace,Completed - Paid,Standard,19.90,0.99,20.89,TRUE,
D625C813-2DED81-A2253,Ava Kelly,"Thursday, 24 July 2025",TcgMarketplace,Completed - Paid,Standard,13.92,0.99,14.91,TRUE,
D625C813-663723-EC0A9,Noah Bell,"Tuesday, 01 July 2025",TcgMarketplace,Completed - Paid,Standard,28.03,1.31,29.34,TRUE,
D625C813-0DACE1-1238D,Mia Long,"Tuesday, 01 July 2025",TcgMarketplace,Completed - Paid,Standard,18.15,0.99,19.14,TRUE,
D625C813-9D1803-DE701,Mia Barnes,"Tuesday, 01 July 2025",TcgMarketplace,Completed - Paid,Standard,68.89,0.99,69.88,TRUE,
D625C813-B731C1-546DD,Alexander Reed,"Tuesday, 01 July 2025",TcgMarketplace,Completed - Paid,Standard,21.80,1.22,23.02,TRUE,
D625C813-7C5954-090C4,Ella Cook,"Tuesday, 01 July 2025",TcgMarketplace,Completed - Paid,Standard,28.27,0.99,29.26,TRUE,
D625C813-8BC6D3-9B376,Sebastian Ross,"Tuesday, 08 July 2025",TcgMarketplace,Completed - Paid,Standard,22.37,0.99,23.36,TRUE,
D625C813-4B0AB0-1468E,Harper Ross,"Tuesday, 08 July 2025",TcgMarketplace,Completed - Paid,Standard,16.33,0.99,17.32,TRUE,
D625C813-885E1D-E382D,Owen Mitchell,"Tuesday, 08 July 2025",TcgMarketplace,Completed - Paid,Standard,21.47,0.99,22.46,TRUE,
D625C813-90AA20-20758,Ava Parker,"Tuesday, 08 July 2025",TcgMarketplace,Completed - Paid,Standard,8.40,1.22,9.62,TRUE,
D625C813-E0BF99-3FE74,Scarlett Brooks,"Tuesday, 08 July 2025",TcgMarketplace,Completed - Paid,Standard,19.54,0.99,20.53,TRUE,
D625C813-6AA19C-B12BA,Michael Ward,"Tuesday, 15 July 2025",TcgMarketplace,Completed - Paid,Standard,17.29,1.22,18.51,TRUE,
D625C813-C6FD75-482DC,Elijah Brooks,"Tuesday, 15 July 2025",TcgMarketplace,Completed - Paid,Standard,20.47,0.99,21.46,TRUE,
D625C813-A7E716-6AC3F,Nora Long,"Tuesday, 15 July 2025",TcgMarketplace,Completed - Paid,Standard,58.48,0.99,59.47,TRUE,
D625C813-E70269-8A404,Liam Hughes,"Tuesday, 22 July 2025",TcgMarketplace,Completed - Paid,Standard,11.02,0.99,12.01,TRUE,
D625C813-12370A-EEA08,Sebastian Carter,"Tuesday, 22 July 2025",TcgMarketplace,Completed - Paid,Standard,36.32,0.99,37.31,TRUE,
D625C813-EFD2D3-BDCA7,Aria Powell,"Tuesday, 22 July 2025",TcgMarketplace,Completed - Paid,Standard,64.50,1.22,65.72,TRUE,
D625C813-01400C-8A86B,William Powell,"Tuesday, 22 July 2025",TcgMarketplace,Completed - Paid,Standard,10.30,0.99,11.29,TRUE,
D625C813-AB8442-BB253,Charlotte Long,"Tuesday, 29 July 2025",TcgMarketplace,Completed - Paid,Standard,22.19,0.99,23.18,TRUE,
D625C813-7CA410-77395,Mason Hughes,"Tuesday, 29 July 2025",TcgMarketplace,Completed - Paid,Standard,20.30,0.99,21.29,TRUE,
D625C813-13A299-AAF5C,Benjamin Carter,"Tuesday, 29 July 2025",TcgMarketplace,Completed - Paid,Standard,24.37,0.99,25.36,TRUE,
D625C813-0635DE-F0ADB,Benjamin Foster,"Tuesday, 29 July 2025",TcgMarketplace,Completed - Paid,Standard,18.52,0.99,19.51,TRUE,
D625C813-82E2E5-69D98,Grace Murphy,"Wednesday, 02 July 2025",TcgMarketplace,Completed - Paid,Standard,45.32,1.22,46.54,TRUE,
D625C813-C5626C-7D4BC,Elijah Murphy,"Wednesday, 02 July 2025",TcgMarketplace,Completed - Paid,Standard,27.89,1.22,29.11,TRUE,
D625C813-5BACB5-08D2C,Levi Ross,"Wednesday, 09 July 2025",TcgMarketplace,Completed - Paid,Standard,22.94,0.99,23.93,TRUE,
D625C813-4841B3-0E331,Logan Ross,"Wednesday, 09 July 2025",TcgMarketplace,Completed - Paid,Standard,22.94,1.31,24.25,TRUE,
D625C813-AE184E-5F50C,William Hughes,"Wednesday, 09 July 2025",TcgMarketplace,Completed - Paid,Standard,20.31,0.99,21.30,TRUE,
D625C813-BF03CE-546D7,Oliver Flores,"Wednesday, 16 July 2025",TcgMarketplace,Completed - Paid,Standard,20.40,0.99,21.39,TRUE,
D625C813-401245-60085,Evelyn Reed,"Wednesday, 16 July 2025",TcgMarketplace,Completed - Paid,Standard,19.65,1.22,20.87,TRUE,
D625C813-5AF9CB-B07FC,Zoey Rivera,"Wednesday, 16 July 2025",TcgMarketplace,Completed - Paid,Standard,22.09,0.99,23.08,TRUE,
D625C813-FF2AE7-AC440,William Powell,"Wednesday, 16 July 2025",TcgMarketplace,Completed - Paid,Standard,8.71,0.99,9.70,TRUE,
D625C813-233054-85B44,Grace Barnes,"Wednesday, 23 July 2025",TcgMarketplace,Completed - Paid,Standard,19.93,1.31,21.24,TRUE,
D625C813-1A6FDF-C44B5,Owen Powell,"Wednesday, 30 July 2025",TcgMarketplace,Completed - Paid,Standard,27.06,0.99,28.05,TRUE,
D625C813-2C0BF3-CD1DC,Scarlett Hayes,"Wednesday, 30 July 2025",TcgMarketplace,Completed - Paid,Standard,18.90,1.31,20.21,TRUE,
